"sex","happiness","region","year"
"M","Pretty happy","Pacific","2010's"
"M","Pretty happy","Pacific","2020's"
"M","Very happy","New England","1970's"
"M","Very happy","New England","1980's"
"M","Very happy","New England","1990's"
"M","Very happy","New England","2000's"
"M","Very happy","New England","2010's"
"M","Very happy","New England","2020's"
"M","Very happy","Middle Atlantic","1970's"
"M","Very happy","Middle Atlantic","1980's"
"M","Very happy","Middle Atlantic","1990's"
"M","Very happy","Middle Atlantic","2000's"
"M","Very happy","Middle Atlantic","2010's"
"M","Very happy","Middle Atlantic","2020's"
"M","Very happy","East North Central","1970's"
"M","Very happy","East North Central","1980's"
"M","Very happy","East North Central","1990's"
"M","Very happy","East North Central","2000's"
"M","Very happy","East North Central","2010's"
"M","Very happy","East North Central","2020's"
"M","Very happy","West North Central","1970's"
"M","Very happy","West North Central","1980's"
"M","Very happy","West North Central","1990's"
"M","Very happy","West North Central","2000's"
"M","Very happy","West North Central","2010's"
"M","Very happy","West North Central","2020's"
"M","Very happy","South Atlantic","1970's"
"M","Very happy","South Atlantic","1980's"
"M","Very happy","South Atlantic","1990's"
"M","Very happy","South Atlantic","2000's"
"M","Very happy","South Atlantic","2010's"
"M","Very happy","South Atlantic","2020's"
"M","Very happy","East South Central","1970's"
"M","Very happy","East South Central","1980's"
"M","Very happy","East South Central","1990's"
"M","Very happy","East South Central","2000's"
"M","Very happy","East South Central","2010's"
"M","Very happy","East South Central","2020's"
"M","Very happy","West South Central","1970's"
"M","Very happy","West South Central","1980's"
"M","Very happy","West South Central","1990's"
"M","Very happy","West South Central","2000's"
"M","Very happy","West South Central","2010's"
"M","Very happy","West South Central","2020's"
"M","Very happy","Mountain","1970's"
"M","Very happy","Mountain","1980's"
"M","Very happy","Mountain","1990's"
"M","Very happy","Mountain","2000's"
"M","Very happy","Mountain","2010's"
"M","Very happy","Mountain","2020's"
"M","Very happy","Pacific","1970's"
"M","Very happy","Pacific","1980's"
"M","Very happy","Pacific","1990's"
"M","Very happy","Pacific","2000's"
"M","Very happy","Pacific","2010's"
"M","Very happy","Pacific","2020's"
