"sex","educ","region","year"
"F","12th grade","Mountain","1970's"
"F","12th grade","Mountain","1980's"
"F","12th grade","Mountain","1990's"
"F","12th grade","Mountain","2000's"
"F","12th grade","Mountain","2010's"
"F","12th grade","Mountain","2020's"
"F","12th grade","Pacific","1970's"
"F","12th grade","Pacific","1980's"
"F","12th grade","Pacific","1990's"
"F","12th grade","Pacific","2000's"
"F","12th grade","Pacific","2010's"
"F","12th grade","Pacific","2020's"
"F","5 years of college","New England","1970's"
"F","5 years of college","New England","1980's"
"F","5 years of college","New England","1990's"
"F","5 years of college","New England","2000's"
"F","5 years of college","New England","2010's"
"F","5 years of college","New England","2020's"
"F","5 years of college","Middle Atlantic","1970's"
"F","5 years of college","Middle Atlantic","1980's"
"F","5 years of college","Middle Atlantic","1990's"
"F","5 years of college","Middle Atlantic","2000's"
"F","5 years of college","Middle Atlantic","2010's"
"F","5 years of college","Middle Atlantic","2020's"
"F","5 years of college","East North Central","1970's"
"F","5 years of college","East North Central","1980's"
"F","5 years of college","East North Central","1990's"
"F","5 years of college","East North Central","2000's"
"F","5 years of college","East North Central","2010's"
"F","5 years of college","East North Central","2020's"
"F","5 years of college","West North Central","1970's"
"F","5 years of college","West North Central","1980's"
"F","5 years of college","West North Central","1990's"
"F","5 years of college","West North Central","2000's"
"F","5 years of college","West North Central","2010's"
"F","5 years of college","West North Central","2020's"
"F","5 years of college","South Atlantic","1970's"
"F","5 years of college","South Atlantic","1980's"
"F","5 years of college","South Atlantic","1990's"
"F","5 years of college","South Atlantic","2000's"
"F","5 years of college","South Atlantic","2010's"
"F","5 years of college","South Atlantic","2020's"
"F","5 years of college","East South Central","1970's"
"F","5 years of college","East South Central","1980's"
"F","5 years of college","East South Central","1990's"
"F","5 years of college","East South Central","2000's"
"F","5 years of college","East South Central","2010's"
"F","5 years of college","East South Central","2020's"
"F","5 years of college","West South Central","1970's"
"F","5 years of college","West South Central","1980's"
"F","5 years of college","West South Central","1990's"
"F","5 years of college","West South Central","2000's"
"F","5 years of college","West South Central","2010's"
"F","5 years of college","West South Central","2020's"
"F","5 years of college","Mountain","1970's"
"F","5 years of college","Mountain","1980's"
"F","5 years of college","Mountain","1990's"
"F","5 years of college","Mountain","2000's"
"F","5 years of college","Mountain","2010's"
"F","5 years of college","Mountain","2020's"
"F","5 years of college","Pacific","1970's"
"F","5 years of college","Pacific","1980's"
"F","5 years of college","Pacific","1990's"
"F","5 years of college","Pacific","2000's"
"F","5 years of college","Pacific","2010's"
"F","5 years of college","Pacific","2020's"
"F","2 years of college","New England","1970's"
"F","2 years of college","New England","1980's"
"F","2 years of college","New England","1990's"
"F","2 years of college","New England","2000's"
"F","2 years of college","New England","2010's"
"F","2 years of college","New England","2020's"
"F","2 years of college","Middle Atlantic","1970's"
"F","2 years of college","Middle Atlantic","1980's"
"F","2 years of college","Middle Atlantic","1990's"
"F","2 years of college","Middle Atlantic","2000's"
"F","2 years of college","Middle Atlantic","2010's"
"F","2 years of college","Middle Atlantic","2020's"
"F","2 years of college","East North Central","1970's"
"F","2 years of college","East North Central","1980's"
"F","2 years of college","East North Central","1990's"
"F","2 years of college","East North Central","2000's"
"F","2 years of college","East North Central","2010's"
"F","2 years of college","East North Central","2020's"
"F","2 years of college","West North Central","1970's"
"F","2 years of college","West North Central","1980's"
"F","2 years of college","West North Central","1990's"
"F","2 years of college","West North Central","2000's"
"F","2 years of college","West North Central","2010's"
"F","2 years of college","West North Central","2020's"
"F","2 years of college","South Atlantic","1970's"
"F","2 years of college","South Atlantic","1980's"
"F","2 years of college","South Atlantic","1990's"
"F","2 years of college","South Atlantic","2000's"
"F","2 years of college","South Atlantic","2010's"
"F","2 years of college","South Atlantic","2020's"
"F","2 years of college","East South Central","1970's"
"F","2 years of college","East South Central","1980's"
"F","2 years of college","East South Central","1990's"
"F","2 years of college","East South Central","2000's"
"F","2 years of college","East South Central","2010's"
"F","2 years of college","East South Central","2020's"
"F","2 years of college","West South Central","1970's"
"F","2 years of college","West South Central","1980's"
"F","2 years of college","West South Central","1990's"
"F","2 years of college","West South Central","2000's"
"F","2 years of college","West South Central","2010's"
"F","2 years of college","West South Central","2020's"
"F","2 years of college","Mountain","1970's"
"F","2 years of college","Mountain","1980's"
"F","2 years of college","Mountain","1990's"
"F","2 years of college","Mountain","2000's"
"F","2 years of college","Mountain","2010's"
"F","2 years of college","Mountain","2020's"
"F","2 years of college","Pacific","1970's"
"F","2 years of college","Pacific","1980's"
"F","2 years of college","Pacific","1990's"
"F","2 years of college","Pacific","2000's"
"F","2 years of college","Pacific","2010's"
"F","2 years of college","Pacific","2020's"
"F","1 year of college","New England","1970's"
"F","1 year of college","New England","1980's"
"F","1 year of college","New England","1990's"
"F","1 year of college","New England","2000's"
"F","1 year of college","New England","2010's"
"F","1 year of college","New England","2020's"
"F","1 year of college","Middle Atlantic","1970's"
"F","1 year of college","Middle Atlantic","1980's"
"F","1 year of college","Middle Atlantic","1990's"
"F","1 year of college","Middle Atlantic","2000's"
"F","1 year of college","Middle Atlantic","2010's"
"F","1 year of college","Middle Atlantic","2020's"
"F","1 year of college","East North Central","1970's"
"F","1 year of college","East North Central","1980's"
"F","1 year of college","East North Central","1990's"
"F","1 year of college","East North Central","2000's"
"F","1 year of college","East North Central","2010's"
"F","1 year of college","East North Central","2020's"
"F","1 year of college","West North Central","1970's"
"F","1 year of college","West North Central","1980's"
"F","1 year of college","West North Central","1990's"
"F","1 year of college","West North Central","2000's"
"F","1 year of college","West North Central","2010's"
"F","1 year of college","West North Central","2020's"
"F","1 year of college","South Atlantic","1970's"
"F","1 year of college","South Atlantic","1980's"
"F","1 year of college","South Atlantic","1990's"
"F","1 year of college","South Atlantic","2000's"
"F","1 year of college","South Atlantic","2010's"
"F","1 year of college","South Atlantic","2020's"
"F","1 year of college","East South Central","1970's"
"F","1 year of college","East South Central","1980's"
"F","1 year of college","East South Central","1990's"
"F","1 year of college","East South Central","2000's"
"F","1 year of college","East South Central","2010's"
"F","1 year of college","East South Central","2020's"
"F","1 year of college","West South Central","1970's"
"F","1 year of college","West South Central","1980's"
"F","1 year of college","West South Central","1990's"
"F","1 year of college","West South Central","2000's"
"F","1 year of college","West South Central","2010's"
"F","1 year of college","West South Central","2020's"
"F","1 year of college","Mountain","1970's"
"F","1 year of college","Mountain","1980's"
"F","1 year of college","Mountain","1990's"
"F","1 year of college","Mountain","2000's"
"F","1 year of college","Mountain","2010's"
"F","1 year of college","Mountain","2020's"
"F","1 year of college","Pacific","1970's"
"F","1 year of college","Pacific","1980's"
"F","1 year of college","Pacific","1990's"
"F","1 year of college","Pacific","2000's"
"F","1 year of college","Pacific","2010's"
"F","1 year of college","Pacific","2020's"
"F","6th grade","New England","1970's"
"F","6th grade","New England","1980's"
"F","6th grade","New England","1990's"
"F","6th grade","New England","2000's"
"F","6th grade","New England","2010's"
"F","6th grade","New England","2020's"
"F","6th grade","Middle Atlantic","1970's"
"F","6th grade","Middle Atlantic","1980's"
"F","6th grade","Middle Atlantic","1990's"
"F","6th grade","Middle Atlantic","2000's"
"F","6th grade","Middle Atlantic","2010's"
"F","6th grade","Middle Atlantic","2020's"
"F","6th grade","East North Central","1970's"
"F","6th grade","East North Central","1980's"
"F","6th grade","East North Central","1990's"
"F","6th grade","East North Central","2000's"
"F","6th grade","East North Central","2010's"
"F","6th grade","East North Central","2020's"
"F","6th grade","West North Central","1970's"
"F","6th grade","West North Central","1980's"
"F","6th grade","West North Central","1990's"
"F","6th grade","West North Central","2000's"
"F","6th grade","West North Central","2010's"
"F","6th grade","West North Central","2020's"
"F","6th grade","South Atlantic","1970's"
"F","6th grade","South Atlantic","1980's"
"F","6th grade","South Atlantic","1990's"
"F","6th grade","South Atlantic","2000's"
"F","6th grade","South Atlantic","2010's"
"F","6th grade","South Atlantic","2020's"
"F","6th grade","East South Central","1970's"
"F","6th grade","East South Central","1980's"
"F","6th grade","East South Central","1990's"
"F","6th grade","East South Central","2000's"
"F","6th grade","East South Central","2010's"
"F","6th grade","East South Central","2020's"
"F","6th grade","West South Central","1970's"
"F","6th grade","West South Central","1980's"
"F","6th grade","West South Central","1990's"
"F","6th grade","West South Central","2000's"
"F","6th grade","West South Central","2010's"
"F","6th grade","West South Central","2020's"
"F","6th grade","Mountain","1970's"
"F","6th grade","Mountain","1980's"
"F","6th grade","Mountain","1990's"
"F","6th grade","Mountain","2000's"
"F","6th grade","Mountain","2010's"
"F","6th grade","Mountain","2020's"
"F","6th grade","Pacific","1970's"
"F","6th grade","Pacific","1980's"
"F","6th grade","Pacific","1990's"
"F","6th grade","Pacific","2000's"
"F","6th grade","Pacific","2010's"
"F","6th grade","Pacific","2020's"
"F","9th grade","New England","1970's"
"F","9th grade","New England","1980's"
"F","9th grade","New England","1990's"
"F","9th grade","New England","2000's"
"F","9th grade","New England","2010's"
"F","9th grade","New England","2020's"
"F","9th grade","Middle Atlantic","1970's"
"F","9th grade","Middle Atlantic","1980's"
"F","9th grade","Middle Atlantic","1990's"
"F","9th grade","Middle Atlantic","2000's"
"F","9th grade","Middle Atlantic","2010's"
"F","9th grade","Middle Atlantic","2020's"
"F","9th grade","East North Central","1970's"
"F","9th grade","East North Central","1980's"
"F","9th grade","East North Central","1990's"
"F","9th grade","East North Central","2000's"
"F","9th grade","East North Central","2010's"
"F","9th grade","East North Central","2020's"
"F","9th grade","West North Central","1970's"
"F","9th grade","West North Central","1980's"
"F","9th grade","West North Central","1990's"
"F","9th grade","West North Central","2000's"
"F","9th grade","West North Central","2010's"
"F","9th grade","West North Central","2020's"
"F","9th grade","South Atlantic","1970's"
"F","9th grade","South Atlantic","1980's"
"F","9th grade","South Atlantic","1990's"
"F","9th grade","South Atlantic","2000's"
"F","9th grade","South Atlantic","2010's"
"F","9th grade","South Atlantic","2020's"
"F","9th grade","East South Central","1970's"
"F","9th grade","East South Central","1980's"
"F","9th grade","East South Central","1990's"
"F","9th grade","East South Central","2000's"
"F","9th grade","East South Central","2010's"
"F","9th grade","East South Central","2020's"
"F","9th grade","West South Central","1970's"
"F","9th grade","West South Central","1980's"
"F","9th grade","West South Central","1990's"
"F","9th grade","West South Central","2000's"
"F","9th grade","West South Central","2010's"
"F","9th grade","West South Central","2020's"
"F","9th grade","Mountain","1970's"
"F","9th grade","Mountain","1980's"
"F","9th grade","Mountain","1990's"
"F","9th grade","Mountain","2000's"
"F","9th grade","Mountain","2010's"
"F","9th grade","Mountain","2020's"
"F","9th grade","Pacific","1970's"
"F","9th grade","Pacific","1980's"
"F","9th grade","Pacific","1990's"
"F","9th grade","Pacific","2000's"
"F","9th grade","Pacific","2010's"
"F","9th grade","Pacific","2020's"
"F","8th grade","New England","1970's"
"F","8th grade","New England","1980's"
"F","8th grade","New England","1990's"
"F","8th grade","New England","2000's"
"F","8th grade","New England","2010's"
"F","8th grade","New England","2020's"
"F","8th grade","Middle Atlantic","1970's"
"F","8th grade","Middle Atlantic","1980's"
"F","8th grade","Middle Atlantic","1990's"
"F","8th grade","Middle Atlantic","2000's"
"F","8th grade","Middle Atlantic","2010's"
"F","8th grade","Middle Atlantic","2020's"
"F","8th grade","East North Central","1970's"
"F","8th grade","East North Central","1980's"
"F","8th grade","East North Central","1990's"
"F","8th grade","East North Central","2000's"
"F","8th grade","East North Central","2010's"
"F","8th grade","East North Central","2020's"
"F","8th grade","West North Central","1970's"
"F","8th grade","West North Central","1980's"
"F","8th grade","West North Central","1990's"
"F","8th grade","West North Central","2000's"
"F","8th grade","West North Central","2010's"
"F","8th grade","West North Central","2020's"
"F","8th grade","South Atlantic","1970's"
"F","8th grade","South Atlantic","1980's"
"F","8th grade","South Atlantic","1990's"
"F","8th grade","South Atlantic","2000's"
"F","8th grade","South Atlantic","2010's"
"F","8th grade","South Atlantic","2020's"
"F","8th grade","East South Central","1970's"
"F","8th grade","East South Central","1980's"
"F","8th grade","East South Central","1990's"
"F","8th grade","East South Central","2000's"
"F","8th grade","East South Central","2010's"
"F","8th grade","East South Central","2020's"
"F","8th grade","West South Central","1970's"
"F","8th grade","West South Central","1980's"
"F","8th grade","West South Central","1990's"
"F","8th grade","West South Central","2000's"
"F","8th grade","West South Central","2010's"
"F","8th grade","West South Central","2020's"
"F","8th grade","Mountain","1970's"
"F","8th grade","Mountain","1980's"
"F","8th grade","Mountain","1990's"
"F","8th grade","Mountain","2000's"
"F","8th grade","Mountain","2010's"
"F","8th grade","Mountain","2020's"
"F","8th grade","Pacific","1970's"
"F","8th grade","Pacific","1980's"
"F","8th grade","Pacific","1990's"
"F","8th grade","Pacific","2000's"
"F","8th grade","Pacific","2010's"
"F","8th grade","Pacific","2020's"
"F","11th grade","New England","1970's"
"F","11th grade","New England","1980's"
"F","11th grade","New England","1990's"
"F","11th grade","New England","2000's"
"F","11th grade","New England","2010's"
"F","11th grade","New England","2020's"
"F","11th grade","Middle Atlantic","1970's"
"F","11th grade","Middle Atlantic","1980's"
"F","11th grade","Middle Atlantic","1990's"
"F","11th grade","Middle Atlantic","2000's"
"F","11th grade","Middle Atlantic","2010's"
"F","11th grade","Middle Atlantic","2020's"
"F","11th grade","East North Central","1970's"
"F","11th grade","East North Central","1980's"
"F","11th grade","East North Central","1990's"
"F","11th grade","East North Central","2000's"
"F","11th grade","East North Central","2010's"
"F","11th grade","East North Central","2020's"
"F","11th grade","West North Central","1970's"
"F","11th grade","West North Central","1980's"
"F","11th grade","West North Central","1990's"
"F","11th grade","West North Central","2000's"
"F","11th grade","West North Central","2010's"
"F","11th grade","West North Central","2020's"
"F","11th grade","South Atlantic","1970's"
"F","11th grade","South Atlantic","1980's"
"F","11th grade","South Atlantic","1990's"
"F","11th grade","South Atlantic","2000's"
"F","11th grade","South Atlantic","2010's"
"F","11th grade","South Atlantic","2020's"
"F","11th grade","East South Central","1970's"
"F","11th grade","East South Central","1980's"
"F","11th grade","East South Central","1990's"
"F","11th grade","East South Central","2000's"
"F","11th grade","East South Central","2010's"
"F","11th grade","East South Central","2020's"
"F","11th grade","West South Central","1970's"
"F","11th grade","West South Central","1980's"
"F","11th grade","West South Central","1990's"
"F","11th grade","West South Central","2000's"
"F","11th grade","West South Central","2010's"
"F","11th grade","West South Central","2020's"
"F","11th grade","Mountain","1970's"
"F","11th grade","Mountain","1980's"
"F","11th grade","Mountain","1990's"
"F","11th grade","Mountain","2000's"
"F","11th grade","Mountain","2010's"
"F","11th grade","Mountain","2020's"
"F","11th grade","Pacific","1970's"
"F","11th grade","Pacific","1980's"
"F","11th grade","Pacific","1990's"
"F","11th grade","Pacific","2000's"
"F","11th grade","Pacific","2010's"
"F","11th grade","Pacific","2020's"
"F","7th grade","New England","1970's"
"F","7th grade","New England","1980's"
"F","7th grade","New England","1990's"
"F","7th grade","New England","2000's"
"F","7th grade","New England","2010's"
"F","7th grade","New England","2020's"
"F","7th grade","Middle Atlantic","1970's"
"F","7th grade","Middle Atlantic","1980's"
"F","7th grade","Middle Atlantic","1990's"
"F","7th grade","Middle Atlantic","2000's"
"F","7th grade","Middle Atlantic","2010's"
"F","7th grade","Middle Atlantic","2020's"
"F","7th grade","East North Central","1970's"
"F","7th grade","East North Central","1980's"
"F","7th grade","East North Central","1990's"
"F","7th grade","East North Central","2000's"
"F","7th grade","East North Central","2010's"
"F","7th grade","East North Central","2020's"
"F","7th grade","West North Central","1970's"
"F","7th grade","West North Central","1980's"
"F","7th grade","West North Central","1990's"
"F","7th grade","West North Central","2000's"
"F","7th grade","West North Central","2010's"
"F","7th grade","West North Central","2020's"
"F","7th grade","South Atlantic","1970's"
"F","7th grade","South Atlantic","1980's"
"F","7th grade","South Atlantic","1990's"
"F","7th grade","South Atlantic","2000's"
"F","7th grade","South Atlantic","2010's"
"F","7th grade","South Atlantic","2020's"
"F","7th grade","East South Central","1970's"
"F","7th grade","East South Central","1980's"
"F","7th grade","East South Central","1990's"
"F","7th grade","East South Central","2000's"
"F","7th grade","East South Central","2010's"
"F","7th grade","East South Central","2020's"
"F","7th grade","West South Central","1970's"
"F","7th grade","West South Central","1980's"
"F","7th grade","West South Central","1990's"
"F","7th grade","West South Central","2000's"
"F","7th grade","West South Central","2010's"
"F","7th grade","West South Central","2020's"
"F","7th grade","Mountain","1970's"
"F","7th grade","Mountain","1980's"
"F","7th grade","Mountain","1990's"
"F","7th grade","Mountain","2000's"
"F","7th grade","Mountain","2010's"
"F","7th grade","Mountain","2020's"
"F","7th grade","Pacific","1970's"
"F","7th grade","Pacific","1980's"
"F","7th grade","Pacific","1990's"
"F","7th grade","Pacific","2000's"
"F","7th grade","Pacific","2010's"
"F","7th grade","Pacific","2020's"
"F","3 years of collage","New England","1970's"
"F","3 years of collage","New England","1980's"
"F","3 years of collage","New England","1990's"
"F","3 years of collage","New England","2000's"
"F","3 years of collage","New England","2010's"
"F","3 years of collage","New England","2020's"
"F","3 years of collage","Middle Atlantic","1970's"
"F","3 years of collage","Middle Atlantic","1980's"
"F","3 years of collage","Middle Atlantic","1990's"
"F","3 years of collage","Middle Atlantic","2000's"
"F","3 years of collage","Middle Atlantic","2010's"
"F","3 years of collage","Middle Atlantic","2020's"
"F","3 years of collage","East North Central","1970's"
"F","3 years of collage","East North Central","1980's"
"F","3 years of collage","East North Central","1990's"
"F","3 years of collage","East North Central","2000's"
"F","3 years of collage","East North Central","2010's"
"F","3 years of collage","East North Central","2020's"
"F","3 years of collage","West North Central","1970's"
"F","3 years of collage","West North Central","1980's"
"F","3 years of collage","West North Central","1990's"
"F","3 years of collage","West North Central","2000's"
"F","3 years of collage","West North Central","2010's"
"F","3 years of collage","West North Central","2020's"
"F","3 years of collage","South Atlantic","1970's"
"F","3 years of collage","South Atlantic","1980's"
"F","3 years of collage","South Atlantic","1990's"
"F","3 years of collage","South Atlantic","2000's"
"F","3 years of collage","South Atlantic","2010's"
"F","3 years of collage","South Atlantic","2020's"
"F","3 years of collage","East South Central","1970's"
"F","3 years of collage","East South Central","1980's"
"F","3 years of collage","East South Central","1990's"
"F","3 years of collage","East South Central","2000's"
"F","3 years of collage","East South Central","2010's"
"F","3 years of collage","East South Central","2020's"
"F","3 years of collage","West South Central","1970's"
"F","3 years of collage","West South Central","1980's"
"F","3 years of collage","West South Central","1990's"
"F","3 years of collage","West South Central","2000's"
"F","3 years of collage","West South Central","2010's"
"F","3 years of collage","West South Central","2020's"
"F","3 years of collage","Mountain","1970's"
"F","3 years of collage","Mountain","1980's"
"F","3 years of collage","Mountain","1990's"
"F","3 years of collage","Mountain","2000's"
"F","3 years of collage","Mountain","2010's"
"F","3 years of collage","Mountain","2020's"
"F","3 years of collage","Pacific","1970's"
"F","3 years of collage","Pacific","1980's"
"F","3 years of collage","Pacific","1990's"
"F","3 years of collage","Pacific","2000's"
"F","3 years of collage","Pacific","2010's"
"F","3 years of collage","Pacific","2020's"
"F","8 or more years of college","New England","1970's"
"F","8 or more years of college","New England","1980's"
"F","8 or more years of college","New England","1990's"
"F","8 or more years of college","New England","2000's"
"F","8 or more years of college","New England","2010's"
"F","8 or more years of college","New England","2020's"
"F","8 or more years of college","Middle Atlantic","1970's"
"F","8 or more years of college","Middle Atlantic","1980's"
"F","8 or more years of college","Middle Atlantic","1990's"
"F","8 or more years of college","Middle Atlantic","2000's"
"F","8 or more years of college","Middle Atlantic","2010's"
"F","8 or more years of college","Middle Atlantic","2020's"
"F","8 or more years of college","East North Central","1970's"
"F","8 or more years of college","East North Central","1980's"
"F","8 or more years of college","East North Central","1990's"
"F","8 or more years of college","East North Central","2000's"
"F","8 or more years of college","East North Central","2010's"
"F","8 or more years of college","East North Central","2020's"
"F","8 or more years of college","West North Central","1970's"
"F","8 or more years of college","West North Central","1980's"
"F","8 or more years of college","West North Central","1990's"
"F","8 or more years of college","West North Central","2000's"
"F","8 or more years of college","West North Central","2010's"
"F","8 or more years of college","West North Central","2020's"
"F","8 or more years of college","South Atlantic","1970's"
"F","8 or more years of college","South Atlantic","1980's"
"F","8 or more years of college","South Atlantic","1990's"
"F","8 or more years of college","South Atlantic","2000's"
"F","8 or more years of college","South Atlantic","2010's"
"F","8 or more years of college","South Atlantic","2020's"
"F","8 or more years of college","East South Central","1970's"
"F","8 or more years of college","East South Central","1980's"
"F","8 or more years of college","East South Central","1990's"
"F","8 or more years of college","East South Central","2000's"
"F","8 or more years of college","East South Central","2010's"
"F","8 or more years of college","East South Central","2020's"
"F","8 or more years of college","West South Central","1970's"
"F","8 or more years of college","West South Central","1980's"
"F","8 or more years of college","West South Central","1990's"
"F","8 or more years of college","West South Central","2000's"
"F","8 or more years of college","West South Central","2010's"
"F","8 or more years of college","West South Central","2020's"
"F","8 or more years of college","Mountain","1970's"
"F","8 or more years of college","Mountain","1980's"
"F","8 or more years of college","Mountain","1990's"
"F","8 or more years of college","Mountain","2000's"
"F","8 or more years of college","Mountain","2010's"
"F","8 or more years of college","Mountain","2020's"
"F","8 or more years of college","Pacific","1970's"
"F","8 or more years of college","Pacific","1980's"
"F","8 or more years of college","Pacific","1990's"
"F","8 or more years of college","Pacific","2000's"
"F","8 or more years of college","Pacific","2010's"
"F","8 or more years of college","Pacific","2020's"
"F","6 years of college","New England","1970's"
"F","6 years of college","New England","1980's"
"F","6 years of college","New England","1990's"
"F","6 years of college","New England","2000's"
"F","6 years of college","New England","2010's"
"F","6 years of college","New England","2020's"
"F","6 years of college","Middle Atlantic","1970's"
"F","6 years of college","Middle Atlantic","1980's"
"F","6 years of college","Middle Atlantic","1990's"
"F","6 years of college","Middle Atlantic","2000's"
"F","6 years of college","Middle Atlantic","2010's"
"F","6 years of college","Middle Atlantic","2020's"
"F","6 years of college","East North Central","1970's"
"F","6 years of college","East North Central","1980's"
"F","6 years of college","East North Central","1990's"
"F","6 years of college","East North Central","2000's"
"F","6 years of college","East North Central","2010's"
"F","6 years of college","East North Central","2020's"
"F","6 years of college","West North Central","1970's"
"F","6 years of college","West North Central","1980's"
"F","6 years of college","West North Central","1990's"
"F","6 years of college","West North Central","2000's"
"F","6 years of college","West North Central","2010's"
"F","6 years of college","West North Central","2020's"
"F","6 years of college","South Atlantic","1970's"
"F","6 years of college","South Atlantic","1980's"
"F","6 years of college","South Atlantic","1990's"
