"sex","marital","region","year"
"F","Married","Pacific","2010's"
"F","Married","Pacific","2020's"
"F","Divorced","New England","1970's"
"F","Divorced","New England","1980's"
"F","Divorced","New England","1990's"
"F","Divorced","New England","2000's"
"F","Divorced","New England","2010's"
"F","Divorced","New England","2020's"
"F","Divorced","Middle Atlantic","1970's"
"F","Divorced","Middle Atlantic","1980's"
"F","Divorced","Middle Atlantic","1990's"
"F","Divorced","Middle Atlantic","2000's"
"F","Divorced","Middle Atlantic","2010's"
"F","Divorced","Middle Atlantic","2020's"
"F","Divorced","East North Central","1970's"
"F","Divorced","East North Central","1980's"
"F","Divorced","East North Central","1990's"
"F","Divorced","East North Central","2000's"
"F","Divorced","East North Central","2010's"
"F","Divorced","East North Central","2020's"
"F","Divorced","West North Central","1970's"
"F","Divorced","West North Central","1980's"
"F","Divorced","West North Central","1990's"
"F","Divorced","West North Central","2000's"
"F","Divorced","West North Central","2010's"
"F","Divorced","West North Central","2020's"
"F","Divorced","South Atlantic","1970's"
"F","Divorced","South Atlantic","1980's"
"F","Divorced","South Atlantic","1990's"
"F","Divorced","South Atlantic","2000's"
"F","Divorced","South Atlantic","2010's"
"F","Divorced","South Atlantic","2020's"
"F","Divorced","East South Central","1970's"
"F","Divorced","East South Central","1980's"
"F","Divorced","East South Central","1990's"
"F","Divorced","East South Central","2000's"
"F","Divorced","East South Central","2010's"
"F","Divorced","East South Central","2020's"
"F","Divorced","West South Central","1970's"
"F","Divorced","West South Central","1980's"
"F","Divorced","West South Central","1990's"
"F","Divorced","West South Central","2000's"
"F","Divorced","West South Central","2010's"
"F","Divorced","West South Central","2020's"
"F","Divorced","Mountain","1970's"
"F","Divorced","Mountain","1980's"
"F","Divorced","Mountain","1990's"
"F","Divorced","Mountain","2000's"
"F","Divorced","Mountain","2010's"
"F","Divorced","Mountain","2020's"
"F","Divorced","Pacific","1970's"
"F","Divorced","Pacific","1980's"
"F","Divorced","Pacific","1990's"
"F","Divorced","Pacific","2000's"
"F","Divorced","Pacific","2010's"
"F","Divorced","Pacific","2020's"
"F","Widowed","New England","1970's"
"F","Widowed","New England","1980's"
"F","Widowed","New England","1990's"
"F","Widowed","New England","2000's"
"F","Widowed","New England","2010's"
"F","Widowed","New England","2020's"
"F","Widowed","Middle Atlantic","1970's"
"F","Widowed","Middle Atlantic","1980's"
"F","Widowed","Middle Atlantic","1990's"
"F","Widowed","Middle Atlantic","2000's"
"F","Widowed","Middle Atlantic","2010's"
"F","Widowed","Middle Atlantic","2020's"
"F","Widowed","East North Central","1970's"
"F","Widowed","East North Central","1980's"
"F","Widowed","East North Central","1990's"
"F","Widowed","East North Central","2000's"
"F","Widowed","East North Central","2010's"
"F","Widowed","East North Central","2020's"
"F","Widowed","West North Central","1970's"
"F","Widowed","West North Central","1980's"
"F","Widowed","West North Central","1990's"
"F","Widowed","West North Central","2000's"
"F","Widowed","West North Central","2010's"
"F","Widowed","West North Central","2020's"
"F","Widowed","South Atlantic","1970's"
"F","Widowed","South Atlantic","1980's"
"F","Widowed","South Atlantic","1990's"
"F","Widowed","South Atlantic","2000's"
"F","Widowed","South Atlantic","2010's"
"F","Widowed","South Atlantic","2020's"
"F","Widowed","East South Central","1970's"
"F","Widowed","East South Central","1980's"
"F","Widowed","East South Central","1990's"
"F","Widowed","East South Central","2000's"
"F","Widowed","East South Central","2010's"
"F","Widowed","East South Central","2020's"
"F","Widowed","West South Central","1970's"
"F","Widowed","West South Central","1980's"
"F","Widowed","West South Central","1990's"
"F","Widowed","West South Central","2000's"
"F","Widowed","West South Central","2010's"
"F","Widowed","West South Central","2020's"
"F","Widowed","Mountain","1970's"
"F","Widowed","Mountain","1980's"
"F","Widowed","Mountain","1990's"
"F","Widowed","Mountain","2000's"
"F","Widowed","Mountain","2010's"
"F","Widowed","Mountain","2020's"
"F","Widowed","Pacific","1970's"
"F","Widowed","Pacific","1980's"
"F","Widowed","Pacific","1990's"
"F","Widowed","Pacific","2000's"
"F","Widowed","Pacific","2010's"
"F","Widowed","Pacific","2020's"
"F","Sepreated","New England","1970's"
"F","Sepreated","New England","1980's"
"F","Sepreated","New England","1990's"
"F","Sepreated","New England","2000's"
"F","Sepreated","New England","2010's"
"F","Sepreated","New England","2020's"
"F","Sepreated","Middle Atlantic","1970's"
"F","Sepreated","Middle Atlantic","1980's"
"F","Sepreated","Middle Atlantic","1990's"
"F","Sepreated","Middle Atlantic","2000's"
"F","Sepreated","Middle Atlantic","2010's"
"F","Sepreated","Middle Atlantic","2020's"
"F","Sepreated","East North Central","1970's"
"F","Sepreated","East North Central","1980's"
"F","Sepreated","East North Central","1990's"
"F","Sepreated","East North Central","2000's"
"F","Sepreated","East North Central","2010's"
"F","Sepreated","East North Central","2020's"
"F","Sepreated","West North Central","1970's"
"F","Sepreated","West North Central","1980's"
"F","Sepreated","West North Central","1990's"
"F","Sepreated","West North Central","2000's"
"F","Sepreated","West North Central","2010's"
"F","Sepreated","West North Central","2020's"
"F","Sepreated","South Atlantic","1970's"
"F","Sepreated","South Atlantic","1980's"
"F","Sepreated","South Atlantic","1990's"
"F","Sepreated","South Atlantic","2000's"
"F","Sepreated","South Atlantic","2010's"
"F","Sepreated","South Atlantic","2020's"
"F","Sepreated","East South Central","1970's"
"F","Sepreated","East South Central","1980's"
"F","Sepreated","East South Central","1990's"
"F","Sepreated","East South Central","2000's"
"F","Sepreated","East South Central","2010's"
"F","Sepreated","East South Central","2020's"
"F","Sepreated","West South Central","1970's"
"F","Sepreated","West South Central","1980's"
"F","Sepreated","West South Central","1990's"
"F","Sepreated","West South Central","2000's"
"F","Sepreated","West South Central","2010's"
"F","Sepreated","West South Central","2020's"
"F","Sepreated","Mountain","1970's"
"F","Sepreated","Mountain","1980's"
"F","Sepreated","Mountain","1990's"
"F","Sepreated","Mountain","2000's"
"F","Sepreated","Mountain","2010's"
"F","Sepreated","Mountain","2020's"
"F","Sepreated","Pacific","1970's"
"F","Sepreated","Pacific","1980's"
"F","Sepreated","Pacific","1990's"
"F","Sepreated","Pacific","2000's"
"F","Sepreated","Pacific","2010's"
"F","Sepreated","Pacific","2020's"
"M","Never married","New England","1970's"
"M","Never married","New England","1980's"
"M","Never married","New England","1990's"
"M","Never married","New England","2000's"
"M","Never married","New England","2010's"
"M","Never married","New England","2020's"
"M","Never married","Middle Atlantic","1970's"
"M","Never married","Middle Atlantic","1980's"
"M","Never married","Middle Atlantic","1990's"
"M","Never married","Middle Atlantic","2000's"
"M","Never married","Middle Atlantic","2010's"
"M","Never married","Middle Atlantic","2020's"
"M","Never married","East North Central","1970's"
"M","Never married","East North Central","1980's"
"M","Never married","East North Central","1990's"
"M","Never married","East North Central","2000's"
"M","Never married","East North Central","2010's"
"M","Never married","East North Central","2020's"
"M","Never married","West North Central","1970's"
"M","Never married","West North Central","1980's"
"M","Never married","West North Central","1990's"
"M","Never married","West North Central","2000's"
"M","Never married","West North Central","2010's"
"M","Never married","West North Central","2020's"
"M","Never married","South Atlantic","1970's"
"M","Never married","South Atlantic","1980's"
"M","Never married","South Atlantic","1990's"
"M","Never married","South Atlantic","2000's"
"M","Never married","South Atlantic","2010's"
"M","Never married","South Atlantic","2020's"
"M","Never married","East South Central","1970's"
"M","Never married","East South Central","1980's"
"M","Never married","East South Central","1990's"
"M","Never married","East South Central","2000's"
"M","Never married","East South Central","2010's"
"M","Never married","East South Central","2020's"
"M","Never married","West South Central","1970's"
"M","Never married","West South Central","1980's"
"M","Never married","West South Central","1990's"
"M","Never married","West South Central","2000's"
"M","Never married","West South Central","2010's"
"M","Never married","West South Central","2020's"
"M","Never married","Mountain","1970's"
"M","Never married","Mountain","1980's"
"M","Never married","Mountain","1990's"
"M","Never married","Mountain","2000's"
"M","Never married","Mountain","2010's"
"M","Never married","Mountain","2020's"
"M","Never married","Pacific","1970's"
"M","Never married","Pacific","1980's"
"M","Never married","Pacific","1990's"
"M","Never married","Pacific","2000's"
"M","Never married","Pacific","2010's"
"M","Never married","Pacific","2020's"
"M","Married","New England","1970's"
"M","Married","New England","1980's"
"M","Married","New England","1990's"
"M","Married","New England","2000's"
"M","Married","New England","2010's"
"M","Married","New England","2020's"
"M","Married","Middle Atlantic","1970's"
"M","Married","Middle Atlantic","1980's"
"M","Married","Middle Atlantic","1990's"
"M","Married","Middle Atlantic","2000's"
"M","Married","Middle Atlantic","2010's"
"M","Married","Middle Atlantic","2020's"
"M","Married","East North Central","1970's"
"M","Married","East North Central","1980's"
"M","Married","East North Central","1990's"
"M","Married","East North Central","2000's"
"M","Married","East North Central","2010's"
"M","Married","East North Central","2020's"
"M","Married","West North Central","1970's"
"M","Married","West North Central","1980's"
"M","Married","West North Central","1990's"
"M","Married","West North Central","2000's"
"M","Married","West North Central","2010's"
"M","Married","West North Central","2020's"
"M","Married","South Atlantic","1970's"
"M","Married","South Atlantic","1980's"
"M","Married","South Atlantic","1990's"
"M","Married","South Atlantic","2000's"
"M","Married","South Atlantic","2010's"
"M","Married","South Atlantic","2020's"
"M","Married","East South Central","1970's"
"M","Married","East South Central","1980's"
"M","Married","East South Central","1990's"
"M","Married","East South Central","2000's"
"M","Married","East South Central","2010's"
"M","Married","East South Central","2020's"
"M","Married","West South Central","1970's"
"M","Married","West South Central","1980's"
"M","Married","West South Central","1990's"
"M","Married","West South Central","2000's"
"M","Married","West South Central","2010's"
"M","Married","West South Central","2020's"
"M","Married","Mountain","1970's"
"M","Married","Mountain","1980's"
"M","Married","Mountain","1990's"
"M","Married","Mountain","2000's"
"M","Married","Mountain","2010's"
"M","Married","Mountain","2020's"
"M","Married","Pacific","1970's"
"M","Married","Pacific","1980's"
"M","Married","Pacific","1990's"
"M","Married","Pacific","2000's"
"M","Married","Pacific","2010's"
"M","Married","Pacific","2020's"
"M","Divorced","New England","1970's"
"M","Divorced","New England","1980's"
"M","Divorced","New England","1990's"
"M","Divorced","New England","2000's"
"M","Divorced","New England","2010's"
"M","Divorced","New England","2020's"
"M","Divorced","Middle Atlantic","1970's"
"M","Divorced","Middle Atlantic","1980's"
"M","Divorced","Middle Atlantic","1990's"
"M","Divorced","Middle Atlantic","2000's"
"M","Divorced","Middle Atlantic","2010's"
"M","Divorced","Middle Atlantic","2020's"
"M","Divorced","East North Central","1970's"
"M","Divorced","East North Central","1980's"
"M","Divorced","East North Central","1990's"
"M","Divorced","East North Central","2000's"
"M","Divorced","East North Central","2010's"
"M","Divorced","East North Central","2020's"
"M","Divorced","West North Central","1970's"
"M","Divorced","West North Central","1980's"
"M","Divorced","West North Central","1990's"
"M","Divorced","West North Central","2000's"
"M","Divorced","West North Central","2010's"
"M","Divorced","West North Central","2020's"
"M","Divorced","South Atlantic","1970's"
"M","Divorced","South Atlantic","1980's"
"M","Divorced","South Atlantic","1990's"
"M","Divorced","South Atlantic","2000's"
"M","Divorced","South Atlantic","2010's"
"M","Divorced","South Atlantic","2020's"
"M","Divorced","East South Central","1970's"
"M","Divorced","East South Central","1980's"
"M","Divorced","East South Central","1990's"
"M","Divorced","East South Central","2000's"
"M","Divorced","East South Central","2010's"
"M","Divorced","East South Central","2020's"
"M","Divorced","West South Central","1970's"
"M","Divorced","West South Central","1980's"
"M","Divorced","West South Central","1990's"
"M","Divorced","West South Central","2000's"
"M","Divorced","West South Central","2010's"
"M","Divorced","West South Central","2020's"
"M","Divorced","Mountain","1970's"
"M","Divorced","Mountain","1980's"
"M","Divorced","Mountain","1990's"
"M","Divorced","Mountain","2000's"
"M","Divorced","Mountain","2010's"
"M","Divorced","Mountain","2020's"
"M","Divorced","Pacific","1970's"
"M","Divorced","Pacific","1980's"
"M","Divorced","Pacific","1990's"
"M","Divorced","Pacific","2000's"
"M","Divorced","Pacific","2010's"
"M","Divorced","Pacific","2020's"
"M","Widowed","New England","1970's"
"M","Widowed","New England","1980's"
"M","Widowed","New England","1990's"
"M","Widowed","New England","2000's"
"M","Widowed","New England","2010's"
"M","Widowed","New England","2020's"
"M","Widowed","Middle Atlantic","1970's"
"M","Widowed","Middle Atlantic","1980's"
"M","Widowed","Middle Atlantic","1990's"
"M","Widowed","Middle Atlantic","2000's"
"M","Widowed","Middle Atlantic","2010's"
"M","Widowed","Middle Atlantic","2020's"
"M","Widowed","East North Central","1970's"
"M","Widowed","East North Central","1980's"
"M","Widowed","East North Central","1990's"
"M","Widowed","East North Central","2000's"
"M","Widowed","East North Central","2010's"
"M","Widowed","East North Central","2020's"
"M","Widowed","West North Central","1970's"
"M","Widowed","West North Central","1980's"
"M","Widowed","West North Central","1990's"
"M","Widowed","West North Central","2000's"
"M","Widowed","West North Central","2010's"
"M","Widowed","West North Central","2020's"
"M","Widowed","South Atlantic","1970's"
"M","Widowed","South Atlantic","1980's"
"M","Widowed","South Atlantic","1990's"
"M","Widowed","South Atlantic","2000's"
"M","Widowed","South Atlantic","2010's"
"M","Widowed","South Atlantic","2020's"
"M","Widowed","East South Central","1970's"
"M","Widowed","East South Central","1980's"
"M","Widowed","East South Central","1990's"
"M","Widowed","East South Central","2000's"
"M","Widowed","East South Central","2010's"
"M","Widowed","East South Central","2020's"
"M","Widowed","West South Central","1970's"
"M","Widowed","West South Central","1980's"
"M","Widowed","West South Central","1990's"
"M","Widowed","West South Central","2000's"
"M","Widowed","West South Central","2010's"
"M","Widowed","West South Central","2020's"
"M","Widowed","Mountain","1970's"
"M","Widowed","Mountain","1980's"
"M","Widowed","Mountain","1990's"
"M","Widowed","Mountain","2000's"
"M","Widowed","Mountain","2010's"
"M","Widowed","Mountain","2020's"
"M","Widowed","Pacific","1970's"
"M","Widowed","Pacific","1980's"
"M","Widowed","Pacific","1990's"
"M","Widowed","Pacific","2000's"
"M","Widowed","Pacific","2010's"
"M","Widowed","Pacific","2020's"
"M","Sepreated","New England","1970's"
"M","Sepreated","New England","1980's"
"M","Sepreated","New England","1990's"
"M","Sepreated","New England","2000's"
"M","Sepreated","New England","2010's"
"M","Sepreated","New England","2020's"
"M","Sepreated","Middle Atlantic","1970's"
"M","Sepreated","Middle Atlantic","1980's"
"M","Sepreated","Middle Atlantic","1990's"
"M","Sepreated","Middle Atlantic","2000's"
"M","Sepreated","Middle Atlantic","2010's"
"M","Sepreated","Middle Atlantic","2020's"
"M","Sepreated","East North Central","1970's"
"M","Sepreated","East North Central","1980's"
"M","Sepreated","East North Central","1990's"
"M","Sepreated","East North Central","2000's"
"M","Sepreated","East North Central","2010's"
"M","Sepreated","East North Central","2020's"
"M","Sepreated","West North Central","1970's"
"M","Sepreated","West North Central","1980's"
"M","Sepreated","West North Central","1990's"
"M","Sepreated","West North Central","2000's"
"M","Sepreated","West North Central","2010's"
"M","Sepreated","West North Central","2020's"
"M","Sepreated","South Atlantic","1970's"
"M","Sepreated","South Atlantic","1980's"
"M","Sepreated","South Atlantic","1990's"
"M","Sepreated","South Atlantic","2000's"
"M","Sepreated","South Atlantic","2010's"
"M","Sepreated","South Atlantic","2020's"
"M","Sepreated","East South Central","1970's"
"M","Sepreated","East South Central","1980's"
"M","Sepreated","East South Central","1990's"
"M","Sepreated","East South Central","2000's"
"M","Sepreated","East South Central","2010's"
"M","Sepreated","East South Central","2020's"
"M","Sepreated","West South Central","1970's"
"M","Sepreated","West South Central","1980's"
"M","Sepreated","West South Central","1990's"
"M","Sepreated","West South Central","2000's"
"M","Sepreated","West South Central","2010's"
"M","Sepreated","West South Central","2020's"
"M","Sepreated","Mountain","1970's"
"M","Sepreated","Mountain","1980's"
"M","Sepreated","Mountain","1990's"
"M","Sepreated","Mountain","2000's"
"M","Sepreated","Mountain","2010's"
"M","Sepreated","Mountain","2020's"
"M","Sepreated","Pacific","1970's"
"M","Sepreated","Pacific","1980's"
"M","Sepreated","Pacific","1990's"
"M","Sepreated","Pacific","2000's"
"M","Sepreated","Pacific","2010's"
"M","Sepreated","Pacific","2020's"
